"PROTOCOL";"WALLTIME"
xrootd;41.8812;
https;41.1976;
xrootd;42.6414;
https;45.9211;
https;40.2508;
https;43.0689;
xrootd;43.3919;
https;42.338;
xrootd;44.254;
xrootd;42.3812;
xrootd;46.2322;
https;45.3713;
https;39.6783;
https;44.5707;
https;40.1364;
https;43.4288;
xrootd;40.9349;
https;43.6441;
https;42.9843;
xrootd;41.6757;
xrootd;44.2594;
https;41.9597;
xrootd;40.9317;
https;41.4159;
xrootd;43.1017;
xrootd;43.9196;
https;43.4938;
https;40.5621;
https;44.6899;
xrootd;45.7483;
https;40.5186;
https;39.403;
xrootd;40.3724;
xrootd;43.813;
https;46.1627;
https;44.041;
xrootd;43.8942;
xrootd;43.1034;
xrootd;40.5629;
https;42.7263;
https;44.9699;
xrootd;42.9236;
https;43.698;
https;42.9562;
xrootd;41.2072;
xrootd;45.9887;
https;41.7641;
xrootd;41.7463;
xrootd;43.1499;
https;45.812;
https;43.4272;
xrootd;40.5717;
xrootd;41.6761;
xrootd;42.3765;
xrootd;45.6834;
https;41.6495;
https;42.5137;
xrootd;42.3723;
https;43.8419;
xrootd;42.1469;
xrootd;41.6559;
xrootd;45.7381;
https;40.0769;
https;42.5692;
xrootd;44.6356;
xrootd;42.6468;
https;41.5418;
https;42.4881;
https;41.8551;
https;41.8221;
https;40.0823;
xrootd;41.7859;
xrootd;42.5445;
xrootd;41.7112;
https;43.5503;
xrootd;40.9852;
xrootd;48.6014;
xrootd;45.6672;
xrootd;42.7978;
https;40.2697;
https;40.6399;
https;40.2831;
https;40.9049;
https;42.6393;
xrootd;42.7022;
https;42.5806;
xrootd;40.1125;
https;47.9039;
https;43.6756;
https;42.4605;
xrootd;41.6092;
xrootd;42.9075;
xrootd;43.1229;
xrootd;40.1217;
https;44.898;
xrootd;41.741;
https;40.0647;
xrootd;42.6822;
https;44.8651;
xrootd;41.3973;
xrootd;42.7019;
https;42.9152;
xrootd;42.3708;
https;44.4758;
https;43.375;
xrootd;41.998;
xrootd;47.3555;
https;41.7402;
xrootd;41.1785;
https;42.0324;
https;43.2906;
xrootd;42.1392;
https;41.4077;
xrootd;45.5162;
https;42.6889;
xrootd;47.8164;
xrootd;42.7095;
https;44.8509;
xrootd;47.335;
xrootd;42.4838;
xrootd;45.0459;
https;41.571;
https;46.8977;
https;44.1526;
xrootd;39.9041;
xrootd;42.6086;
https;43.7573;
xrootd;41.3235;
xrootd;42.6152;
xrootd;42.0538;
https;40.6085;
xrootd;42.6707;
xrootd;40.3888;
xrootd;42.945;
https;42.8086;
xrootd;43.7118;
xrootd;44.9207;
xrootd;41.4856;
https;40.7412;
https;42.62;
xrootd;41.6796;
xrootd;44.5059;
xrootd;41.7969;
https;40.4062;
xrootd;41.6548;
https;42.0503;
xrootd;42.5791;
https;40.6369;
xrootd;41.271;
xrootd;41.3519;
xrootd;41.0489;
xrootd;42.7536;
https;42.9293;
xrootd;44.7525;
xrootd;50.2702;
xrootd;42.3875;
https;42.353;
xrootd;40.2903;
xrootd;41.7534;
https;40.0388;
xrootd;42.3512;
https;42.0134;
xrootd;41.5938;
https;44.1316;
xrootd;42.8344;
https;41.5873;
xrootd;40.0491;
https;42.9854;
xrootd;42.4701;
xrootd;43.7955;
https;42.7594;
https;41.6778;
xrootd;40.2305;
https;39.9711;
https;42.9109;
https;43.9601;
xrootd;45.8342;
https;45.5096;
https;41.8313;
https;39.8925;
xrootd;41.9467;
https;40.9032;
https;39.2063;
xrootd;39.6334;
xrootd;43.9111;
https;42.3989;
xrootd;42.5786;
https;39.8753;
xrootd;43.2186;
xrootd;46.6128;
xrootd;42.47;
https;47.2678;
xrootd;42.262;
https;40.8077;
xrootd;44.2865;
xrootd;42.1367;
xrootd;43.3163;
xrootd;44.2656;
xrootd;44.6937;
xrootd;42.6564;
https;44.6536;
https;41.57;
https;41.2417;
xrootd;42.863;
xrootd;42.181;
xrootd;41.5511;
xrootd;42.8999;
xrootd;42.3236;
xrootd;42.7097;
https;42.6874;
xrootd;44.0402;
xrootd;46.0351;
xrootd;41.832;
xrootd;44.4202;
xrootd;41.7139;
https;39.6002;
https;40.5791;
https;42.8732;
https;40.037;
xrootd;42.2376;
xrootd;41.3393;
https;42.7751;
xrootd;44.1094;
xrootd;41.837;
xrootd;42.8053;
https;43.3089;
https;46.292;
xrootd;40.9974;
https;41.0358;
https;40.4143;
xrootd;44.3828;
xrootd;45.9771;
https;43.0163;
xrootd;43.1665;
xrootd;45.4219;
https;40.851;
xrootd;46.8585;
xrootd;46.585;
https;40.7438;
https;42.7912;
https;45.0897;
xrootd;43.8306;
https;45.708;
https;42.4095;
https;42.166;
https;42.6397;
https;40.216;
xrootd;43.4596;
https;40.7853;
xrootd;41.8682;
xrootd;44.2426;
xrootd;42.2781;
https;41.6229;
https;40.9109;
xrootd;39.3436;
xrootd;40.3559;
xrootd;42.0784;
https;43.1002;
https;39.6026;
https;42.5878;
xrootd;41.7292;
https;41.0233;
https;40.4604;
https;40.4004;
https;44.4361;
https;45.0008;
xrootd;42.7839;
https;41.8494;
https;41.9444;
xrootd;43.5713;
xrootd;41.2713;
https;47.1809;
https;40.7769;
xrootd;42.6285;
xrootd;42.7654;
xrootd;41.9266;
https;42.4695;
https;41.063;
https;42.3648;
https;45.2831;
https;42.1232;
xrootd;46.199;
https;42.979;
xrootd;43.1641;
xrootd;42.6426;
https;40.4772;
https;44.5553;
xrootd;42.6942;
https;42.5166;
xrootd;42.7938;
https;41.8984;
xrootd;44.9966;
xrootd;44.4291;
https;41.5291;
xrootd;43.0975;
https;45.9805;
xrootd;42.8818;
https;39.7742;
https;42.0253;
xrootd;42.3349;
https;42.3175;
xrootd;40.0943;
https;39.2682;
xrootd;41.6345;
xrootd;43.4738;
xrootd;42.9597;
https;40.2075;
https;45.1388;
xrootd;42.8117;
xrootd;45.5932;
https;42.3239;
https;40.4328;
https;41.3031;
https;42.7957;
https;42.9499;
xrootd;39.7292;
https;44.7661;
https;39.9151;
https;43.155;
https;42.6085;
https;42.5299;
https;40.3025;
https;41.9186;
https;42.6164;
https;41.7078;
xrootd;42.0826;
xrootd;42.0429;
https;39.6917;
https;45.5089;
xrootd;43.7712;
https;41.6375;
https;42.4416;
https;44.67;
https;44.1805;
https;42.6589;
xrootd;40.8606;
xrootd;43.7967;
https;42.863;
https;43.4705;
xrootd;43.5168;
https;42.7339;
xrootd;39.4594;
https;41.0285;
xrootd;42.2199;
xrootd;41.2404;
xrootd;39.6223;
https;43.6892;
xrootd;42.4869;
https;41.207;
xrootd;43.1619;
xrootd;44.1149;
https;42.5331;
xrootd;42.3497;
https;42.6825;
https;41.3851;
https;48.9463;
https;43.8065;
xrootd;43.8387;
xrootd;39.8549;
xrootd;41.5776;
xrootd;42.9561;
xrootd;46.0361;
https;41.9706;
https;40.7921;
xrootd;43.0548;
xrootd;44.4413;
xrootd;42.0271;
xrootd;40.2687;
https;40.4052;
xrootd;42.8597;
https;46.237;
https;42.2629;
xrootd;43.004;
https;42.0735;
https;42.0457;
xrootd;45.3944;
https;44.1462;
xrootd;45.6296;
xrootd;50.0108;
https;40.6845;
https;42.8501;
https;46.4606;
https;41.8302;
xrootd;44.9407;
xrootd;46.5839;
https;40.057;
xrootd;42.0601;
xrootd;46.2137;
https;41.1937;
https;43.2575;
xrootd;42.5786;
xrootd;42.665;
https;45.0444;
xrootd;41.2936;
https;39.7293;
https;44.2532;
xrootd;40.9016;
xrootd;47.3318;
xrootd;39.533;
https;42.678;
https;39.3978;
xrootd;42.8058;
https;39.5065;
xrootd;43.736;
xrootd;40.2036;
xrootd;42.6671;
https;39.2587;
https;45.501;
https;41.6575;
https;42.5076;
https;45.4478;
https;39.9514;
xrootd;42.5018;
https;48.9171;
xrootd;44.6163;
xrootd;40.56;
https;42.5325;
xrootd;42.6563;
https;43.8713;
xrootd;44.9575;
xrootd;42.1811;
xrootd;42.7382;
xrootd;43.0102;
xrootd;42.3161;
xrootd;41.6198;
https;42.5284;
xrootd;42.8183;
xrootd;46.6485;
xrootd;44.5358;
xrootd;42.9988;
https;39.3444;
xrootd;41.3792;
xrootd;43.031;
https;40.1531;
xrootd;41.3015;
xrootd;45.1226;
xrootd;43.5986;
https;43.5245;
xrootd;44.2659;
https;43.2091;
https;42.1111;
xrootd;44.6922;
xrootd;44.3181;
xrootd;49.3284;
xrootd;43.0718;
xrootd;41.0166;
https;40.0232;
https;42.5565;
xrootd;43.8704;
xrootd;44.2291;
xrootd;42.4125;
https;43.0737;
https;44.4569;
xrootd;40.392;
xrootd;45.1935;
https;42.5282;
https;41.8063;
https;44.2971;
xrootd;41.7087;
xrootd;43.043;
xrootd;44.0207;
xrootd;42.6006;
https;39.5;
https;42.4061;
xrootd;42.5547;
xrootd;45.9928;
xrootd;43.1609;
https;42.4144;
xrootd;41.5544;
xrootd;43.5583;
xrootd;43.2665;
https;45.6863;
https;44.553;
https;46.0419;
xrootd;43.5543;
xrootd;46.871;
https;42.8933;
xrootd;44.3121;
xrootd;45.9031;
https;41.4962;
xrootd;41.5227;
xrootd;42.4953;
https;42.7438;
https;41.7085;
https;39.5684;
xrootd;41.0457;
xrootd;42.457;
https;40.0961;
https;42.0123;
xrootd;41.8928;
xrootd;46.1057;
https;39.9646;
https;47.4015;
https;40.0136;
xrootd;40.3771;
xrootd;41.2796;
https;42.683;
https;40.652;
https;43.5741;
https;41.8466;
https;43.3969;
xrootd;44.3414;
xrootd;45.1046;
https;41.5583;
xrootd;42.6847;
https;42.7218;
https;44.3201;
xrootd;43.0224;
xrootd;43.5357;
https;42.3907;
https;38.999;
xrootd;42.8513;
https;44.8071;
https;42.3782;
xrootd;44.0451;
https;40.5617;
xrootd;42.7464;
https;44.9181;
xrootd;42.6599;
xrootd;43.5104;
https;39.5907;
xrootd;41.1917;
https;43.8253;
xrootd;42.2505;
xrootd;42.4283;
xrootd;43.8002;
xrootd;40.722;
https;40.6136;
https;43.6138;
https;43.0135;
xrootd;42.6229;
https;44.9209;
https;42.641;
https;41.848;
xrootd;42.5244;
xrootd;41.7776;
https;39.4501;
https;42.8308;
https;40.8834;
xrootd;42.6388;
https;42.6284;
https;41.0335;
https;40.2515;
https;41.9235;
https;43.4474;
xrootd;40.5551;
https;44.9093;
xrootd;43.9035;
https;40.6606;
xrootd;44.429;
https;45.5082;
https;40.1086;
https;44.2605;
xrootd;43.1977;
xrootd;42.1006;
https;40.6042;
xrootd;40.1806;
https;42.901;
xrootd;40.0293;
https;42.912;
xrootd;42.1882;
https;45.4471;
xrootd;40.4841;
xrootd;42.8501;
https;41.7603;
https;43.5008;
xrootd;43.1656;
https;42.3781;
xrootd;42.3655;
https;39.7821;
https;45.7192;
xrootd;42.6034;
https;43.238;
xrootd;40.271;
https;40.9661;
https;40.5646;
xrootd;42.9452;
https;43.8489;
xrootd;44.2888;
https;41.3942;
xrootd;43.5031;
xrootd;42.502;
xrootd;42.4667;
https;42.965;
https;39.485;
xrootd;43.0637;
xrootd;43.0996;
xrootd;40.5303;
https;41.9289;
https;41.3522;
xrootd;45.1441;
xrootd;41.6516;
xrootd;42.5439;
https;42.3167;
xrootd;43.562;
https;43.1109;
https;42.9788;
xrootd;43.0379;
https;43.5466;
https;42.3298;
https;42.33;
xrootd;43.8712;
https;41.0448;
xrootd;43.2984;
https;41.5736;
xrootd;43.4856;
https;42.8811;
xrootd;43.4615;
https;45.1126;
https;39.0723;
https;41.6662;
xrootd;43.6256;
https;40.6941;
https;39.9607;
https;42.1267;
https;44.921;
xrootd;42.8528;
xrootd;41.8437;
https;40.399;
https;42.5539;
xrootd;44.7543;
https;43.1657;
https;44.6746;
https;44.9794;
xrootd;43.452;
https;40.4402;
xrootd;42.4195;
https;41.8421;
https;43.4655;
xrootd;43.1695;
https;43.0773;
https;41.455;
xrootd;39.9073;
https;39.1627;
xrootd;43.7288;
https;39.3341;
https;40.6932;
xrootd;44.563;
xrootd;41.6162;
xrootd;45.9538;
https;39.6209;
https;43.8925;
https;42.542;
xrootd;42.6182;
https;43.1858;
https;42.8388;
https;42.0178;
xrootd;41.8085;
https;39.9466;
xrootd;41.9121;
xrootd;41.6682;
https;42.5418;
xrootd;43.6662;
https;40.9573;
https;43.2982;
https;40.7436;
xrootd;43.3672;
https;39.6248;
xrootd;44.7676;
xrootd;44.6426;
https;42.405;
xrootd;42.9647;
https;39.8938;
xrootd;43.3076;
https;40.386;
xrootd;40.3951;
https;41.054;
https;41.9235;
xrootd;42.0548;
xrootd;44.512;
xrootd;42.733;
https;42.4674;
xrootd;41.2528;
xrootd;43.8244;
https;39.8347;
https;40.1418;
https;42.4449;
https;44.7069;
https;40.8171;
https;45.975;
https;42.672;
xrootd;44.5165;
https;42.7607;
xrootd;42.2204;
xrootd;39.7407;
https;42.5512;
xrootd;44.4866;
xrootd;43.9405;
xrootd;41.7086;
xrootd;41.0345;
https;42.7953;
xrootd;45.9003;
https;40.8333;
https;42.5059;
https;42.9048;
https;41.214;
https;43.6733;
xrootd;43.1461;
xrootd;43.1342;
xrootd;44.1242;
xrootd;41.6082;
xrootd;41.449;
xrootd;42.1339;
xrootd;40.9568;
xrootd;44.8181;
https;42.4063;
https;41.9161;
https;42.4533;
xrootd;43.2809;
xrootd;42.2997;
https;39.555;
xrootd;43.7973;
https;46.9081;
https;41.6673;
xrootd;43.4325;
https;46.2776;
https;43.8788;
https;44.8005;
https;41.9332;
xrootd;45.0036;
xrootd;44.275;
https;42.1935;
xrootd;42.4647;
https;41.4438;
https;40.5307;
https;42.3649;
https;44.3692;
https;42.1053;
xrootd;40.9187;
xrootd;41.6068;
https;40.4609;
https;49.8392;
xrootd;41.6607;
https;43.5574;
xrootd;44.5842;
https;42.0462;
https;43.9354;
https;43.11;
https;43.6139;
https;39.8359;
xrootd;44.5513;
xrootd;41.2573;
https;43.6675;
xrootd;41.291;
https;39.7692;
xrootd;40.3833;
xrootd;43.4393;
https;44.2013;
https;40.1412;
xrootd;45.0086;
xrootd;44.3695;
https;40.1746;
xrootd;42.8677;
https;42.6144;
xrootd;44.2379;
xrootd;41.6351;
https;41.093;
https;42.0141;
xrootd;44.5026;
https;41.9901;
xrootd;44.8916;
xrootd;41.9188;
https;42.7454;
https;40.4051;
xrootd;42.0986;
xrootd;41.4964;
xrootd;47.5927;
https;41.6997;
https;42.2784;
https;43.8347;
https;41.0187;
xrootd;42.7848;
xrootd;43.6347;
xrootd;40.7467;
xrootd;42.8356;
xrootd;42.4805;
https;42.6557;
https;43.2522;
https;41.9476;
xrootd;45.6835;
xrootd;42.8382;
xrootd;42.485;
https;44.9895;
xrootd;42.7616;
https;42.8474;
https;42.6758;
https;42.4749;
xrootd;42.6961;
xrootd;42.6197;
xrootd;41.1869;
https;43.4787;
xrootd;44.1823;
xrootd;44.8287;
https;44.233;
xrootd;42.6019;
xrootd;45.2691;
https;43.6457;
xrootd;43.1089;
https;42.367;
https;43.669;
https;43.1533;
https;39.6683;
xrootd;43.9167;
https;40.3643;
https;41.7637;
xrootd;40.9225;
https;41.7449;
xrootd;42.0345;
https;41.6086;
https;42.1358;
xrootd;43.7998;
xrootd;41.2263;
xrootd;43.1704;
xrootd;44.4135;
xrootd;41.2542;
https;40.5451;
xrootd;47.4048;
xrootd;42.745;
xrootd;39.9327;
https;43.2505;
https;42.2281;
xrootd;44.5643;
xrootd;43.5866;
xrootd;47.3267;
xrootd;42.7341;
https;40.9333;
https;41.3403;
xrootd;44.2814;
https;43.5058;
xrootd;40.9904;
xrootd;43.3475;
xrootd;43.2968;
https;41.9014;
xrootd;39.2085;
xrootd;42.7844;
xrootd;46.5455;
https;41.0316;
xrootd;43.6854;
xrootd;42.7323;
xrootd;40.5922;
https;41.7599;
xrootd;44.5344;
xrootd;43.2874;
xrootd;42.393;
xrootd;43.0099;
https;39.8915;
xrootd;43.0702;
xrootd;40.8627;
xrootd;44.9082;
https;41.8062;
https;41.8668;
xrootd;43.3918;
https;40.2326;
https;45.5528;
https;44.7638;
xrootd;44.5764;
https;44.6821;
xrootd;42.2878;
https;40.1724;
xrootd;43.5574;
https;41.2459;
xrootd;43.4518;
xrootd;41.8927;
https;42.052;
https;43.3757;
xrootd;42.8669;
https;39.8713;
xrootd;43.5767;
xrootd;41.7621;
https;44.9427;
xrootd;44.8758;
xrootd;44.5875;
xrootd;44.3112;
xrootd;41.2997;
https;46.3207;
xrootd;42.945;
xrootd;41.9069;
https;43.4659;
xrootd;41.5382;
https;40.326;
https;40.2452;
https;43.7486;
xrootd;42.4258;
xrootd;40.5378;
xrootd;42.5041;
xrootd;42.6082;
xrootd;42.186;
xrootd;42.4161;
https;42.8002;
https;41.5762;
https;42.6204;
xrootd;42.1846;
https;40.0332;
xrootd;43.0908;
xrootd;43.9076;
xrootd;44.6115;
xrootd;43.241;
https;43.2557;
https;42.8962;
xrootd;40.3738;
https;43.1185;
xrootd;43.6863;
https;39.8351;
https;43.5892;
https;44.2454;
xrootd;42.8998;
https;44.4708;
xrootd;41.1671;
xrootd;40.3846;
https;41.5276;
xrootd;39.6544;
https;42.0859;
xrootd;43.7968;
xrootd;44.0193;
xrootd;45.1085;
https;40.5236;
https;41.6947;
xrootd;41.2666;
https;41.5509;
https;43.837;
https;44.4066;
xrootd;42.5596;
xrootd;41.1013;
xrootd;41.0475;
https;41.124;
xrootd;41.7307;
xrootd;42.9474;
https;45.2979;
https;43.0509;
xrootd;43.5168;
xrootd;42.1005;
https;44.8211;
https;40.9081;
xrootd;42.0927;
xrootd;43.0587;
https;42.7581;
xrootd;41.6639;
https;41.8238;
https;40.3853;
https;43.4696;
https;40.7532;
xrootd;43.8984;
xrootd;42.8449;
xrootd;43.7446;
xrootd;44.4403;
https;42.335;
xrootd;42.7406;
https;40.0868;
https;41.7532;
https;42.4495;
xrootd;45.1796;
https;41.4;
xrootd;39.7974;
https;40.5408;
xrootd;43.2473;
https;43.0725;
xrootd;42.4446;
xrootd;43.2543;
https;43.6657;
https;44.1927;
https;41.3105;
xrootd;42.2864;
xrootd;42.5156;
https;40.346;
https;43.0422;
https;42.9014;
https;41.367;
https;42.5894;
xrootd;41.6234;
xrootd;43.877;
https;42.2144;
https;44.3603;
xrootd;38.6337;
xrootd;40.207;
https;40.469;
https;42.5202;
xrootd;44.2571;
https;40.0891;
xrootd;43.3805;
https;42.5704;
https;41.592;
https;44.2066;
https;42.5422;
xrootd;42.7177;
https;42.8451;
https;39.5372;
https;39.8433;
https;43.2758;
https;40.2826;
xrootd;42.1474;
https;42.8329;
xrootd;41.6939;
xrootd;42.6596;
xrootd;44.299;
xrootd;41.8093;
xrootd;43.2585;
xrootd;43.5001;
xrootd;39.1307;
xrootd;42.7091;
xrootd;40.8566;
xrootd;40.4702;
xrootd;45.5201;
xrootd;44.155;
xrootd;40.7438;
https;42.9791;
xrootd;41.833;
https;43.981;
https;40.3569;
xrootd;42.9541;
xrootd;45.0904;
https;44.6651;
https;41.7929;
https;42.5505;
https;40.4958;
xrootd;43.7378;
xrootd;40.5475;
https;40.8173;
https;45.1807;
xrootd;40.4927;
https;46.3535;
xrootd;40.2446;
xrootd;44.848;
xrootd;42.7412;
https;40.3657;
https;42.5849;
https;42.5223;
https;42.4929;
https;40.9517;
xrootd;43.5263;
https;44.844;
https;45.4282;
xrootd;43.0041;
https;43.0553;
https;41.4429;
xrootd;39.763;
xrootd;41.6967;
https;41.1679;
xrootd;43.1162;
https;43.4673;
https;41.7145;
xrootd;41.7472;
https;42.6773;
https;43.1447;
https;41.4127;
https;41.6813;
https;42.1931;
https;40.2552;
xrootd;44.0414;
xrootd;43.3612;
xrootd;44.1372;
xrootd;43.7291;
xrootd;46.1927;
xrootd;44.8163;
https;41.0512;
https;42.3822;
https;41.059;
xrootd;46.1997;
https;40.091;
xrootd;43.0548;
https;42.0008;
xrootd;44.4773;
xrootd;43.1905;
https;42.4719;
xrootd;42.7695;
https;42.6706;
https;39.9072;
xrootd;42.8541;
xrootd;41.6631;
https;43.6536;
xrootd;43.3533;
xrootd;39.701;
xrootd;43.7651;
https;40.5298;
https;43.0245;
xrootd;41.2085;
xrootd;41.0246;
xrootd;42.3827;
https;42.897;
https;42.362;
https;43.9686;
xrootd;41.254;
https;40.9888;
https;42.1076;
xrootd;40.1974;
xrootd;40.3507;
xrootd;43.2746;
https;40.9938;
xrootd;43.7976;
https;39.7881;
xrootd;42.6003;
xrootd;41.9839;
