"PROTOCOL";"WALLTIME";
https;6.88548;
xrootd;7.14065;
xrootd;7.31684;
xrootd;6.91841;
xrootd;6.97629;
xrootd;6.92224;
https;6.9062;
https;6.91964;
https;6.90059;
https;6.94843;
xrootd;6.96068;
https;6.92024;
xrootd;6.9223;
xrootd;6.93077;
xrootd;7.01629;
xrootd;7.06136;
xrootd;6.98732;
https;6.87631;
xrootd;7.0069;
https;6.90278;
https;6.93911;
https;6.91727;
https;6.91014;
https;6.90907;
https;6.9153;
https;6.8932;
https;6.91817;
xrootd;7.01457;
https;6.88572;
https;6.93514;
xrootd;6.92511;
xrootd;7.06403;
https;6.96349;
https;6.9179;
xrootd;7.03646;
xrootd;6.98919;
https;6.90409;
https;6.93135;
https;6.91905;
xrootd;7.00316;
xrootd;6.93291;
https;6.93849;
xrootd;6.97275;
https;6.88603;
https;6.91975;
xrootd;6.97215;
xrootd;6.9864;
https;6.94968;
https;6.90988;
https;6.89856;
https;6.90872;
xrootd;6.9866;
xrootd;6.92688;
xrootd;7.06251;
https;6.90857;
https;6.90117;
xrootd;6.9888;
https;6.93058;
https;6.92491;
https;6.87449;
xrootd;6.92706;
https;6.91705;
xrootd;6.98087;
https;6.95301;
https;6.8833;
xrootd;6.94718;
https;6.92288;
https;6.88082;
xrootd;6.91983;
https;6.89088;
xrootd;6.91658;
xrootd;7.36238;
xrootd;8.09611;
xrootd;7.0218;
https;7.11594;
https;6.91194;
https;6.88034;
xrootd;7.08309;
https;6.9182;
https;7.00057;
https;6.93421;
https;6.94283;
https;6.8981;
xrootd;6.93065;
https;6.89963;
xrootd;6.8978;
https;6.90289;
xrootd;6.92383;
xrootd;7.01467;
xrootd;6.93099;
xrootd;6.95208;
xrootd;6.94136;
https;6.87906;
https;6.91937;
https;6.90362;
xrootd;6.96702;
xrootd;6.97459;
xrootd;6.95374;
xrootd;6.95592;
https;6.91738;
https;6.87664;
https;7.1155;
xrootd;7.39606;
xrootd;7.17639;
https;6.8973;
https;6.93901;
xrootd;7.05084;
https;6.89861;
xrootd;6.92471;
xrootd;7.00451;
xrootd;6.95274;
https;6.90996;
https;6.88835;
https;6.90287;
xrootd;6.99605;
xrootd;6.94628;
xrootd;6.95529;
https;6.90131;
xrootd;7.03343;
https;6.88327;
xrootd;6.99113;
https;6.91156;
https;6.88761;
https;6.88505;
https;6.92468;
xrootd;6.97558;
https;6.93146;
https;6.89742;
https;6.93189;
https;6.91409;
xrootd;6.97692;
https;6.90205;
xrootd;6.97046;
https;7.14208;
https;6.90121;
https;6.89783;
https;6.8988;
https;6.93229;
https;6.88637;
xrootd;6.91814;
https;6.88972;
xrootd;6.9108;
https;6.92692;
https;6.90235;
xrootd;6.91605;
https;6.89313;
https;6.92295;
xrootd;6.91222;
https;6.88933;
xrootd;6.96134;
xrootd;6.9202;
https;6.92156;
xrootd;7.14933;
xrootd;7.31632;
xrootd;6.96881;
xrootd;6.9045;
https;6.90824;
https;6.90419;
xrootd;7.38932;
https;6.90798;
https;6.93546;
xrootd;6.97412;
https;7.1064;
https;6.89394;
https;6.89451;
xrootd;6.96712;
https;6.88266;
xrootd;6.9074;
xrootd;6.94463;
xrootd;7.02883;
https;6.89311;
xrootd;7.03523;
xrootd;6.97834;
https;6.88758;
xrootd;7.2642;
xrootd;6.90157;
https;6.89497;
xrootd;7.14206;
https;6.95643;
xrootd;7.00782;
https;6.9472;
xrootd;7.02939;
xrootd;6.93307;
xrootd;7.20651;
xrootd;6.90271;
https;6.89675;
xrootd;7.1737;
xrootd;6.94053;
https;6.93942;
https;6.91607;
https;6.91509;
https;6.89742;
https;6.90303;
xrootd;7.0674;
xrootd;6.95419;
xrootd;6.91954;
xrootd;6.9932;
https;6.94749;
xrootd;6.91082;
xrootd;6.94149;
xrootd;7.02925;
xrootd;6.93631;
https;6.91941;
xrootd;6.99555;
https;6.9421;
https;6.92116;
xrootd;6.9476;
xrootd;6.98233;
xrootd;6.96762;
xrootd;7.11716;
xrootd;6.99665;
https;7.04902;
https;6.91722;
xrootd;6.93196;
xrootd;6.94332;
xrootd;6.91672;
xrootd;7.0647;
https;6.89676;
https;6.9012;
xrootd;6.90644;
https;6.88001;
xrootd;6.98202;
https;6.90438;
https;6.88639;
https;6.89622;
https;6.92362;
xrootd;6.93962;
xrootd;6.9358;
xrootd;6.90973;
xrootd;7.00187;
https;6.88371;
xrootd;6.95655;
xrootd;7.22655;
xrootd;7.07413;
https;6.93244;
xrootd;6.97649;
https;6.89155;
xrootd;6.9276;
xrootd;6.91845;
https;6.90933;
https;6.89367;
xrootd;6.93771;
https;6.90304;
https;6.88785;
xrootd;7.06141;
https;6.93187;
https;6.91227;
xrootd;6.90036;
xrootd;7.03599;
xrootd;6.89033;
xrootd;6.91672;
xrootd;6.93708;
xrootd;6.92265;
xrootd;6.94776;
https;6.89781;
https;6.90628;
https;7.0575;
xrootd;6.92482;
https;6.8949;
https;6.89626;
xrootd;6.95035;
xrootd;7.41219;
https;6.89998;
https;6.89039;
https;6.93892;
xrootd;6.90549;
xrootd;6.92627;
xrootd;6.94343;
xrootd;6.94332;
xrootd;6.98106;
xrootd;6.96169;
xrootd;7.15138;
xrootd;6.92984;
xrootd;7.00307;
xrootd;7.36104;
https;6.90109;
xrootd;6.99013;
xrootd;6.93515;
xrootd;6.91511;
xrootd;6.92402;
xrootd;6.93271;
xrootd;7.17207;
https;6.93458;
https;6.89158;
xrootd;7.1781;
https;6.91301;
https;6.88139;
https;7.20494;
https;6.91967;
https;6.89587;
https;6.92224;
xrootd;6.94717;
https;6.89921;
xrootd;6.97835;
https;6.91961;
https;6.92301;
xrootd;6.92707;
https;6.9542;
xrootd;6.93688;
https;6.94912;
https;6.94565;
https;6.89612;
https;6.93093;
xrootd;7.20463;
xrootd;6.91216;
https;6.91393;
https;6.88353;
https;6.90773;
xrootd;6.97594;
https;6.94231;
https;6.89938;
xrootd;7.49263;
xrootd;6.94568;
https;6.9664;
https;6.89062;
xrootd;6.92814;
xrootd;7.12821;
xrootd;7.03385;
xrootd;7.00754;
https;6.88552;
https;6.8902;
xrootd;7.13858;
xrootd;6.95216;
https;6.90268;
xrootd;6.91168;
xrootd;6.9604;
https;6.88866;
https;6.90373;
https;6.91532;
https;6.89949;
https;6.95525;
xrootd;6.90153;
xrootd;6.95006;
https;6.9561;
https;6.88489;
https;6.90721;
https;6.90614;
xrootd;6.95712;
https;6.94046;
https;6.92248;
xrootd;6.92185;
xrootd;6.99447;
xrootd;6.9818;
xrootd;6.9628;
xrootd;6.99573;
https;6.91131;
xrootd;7.04854;
https;6.90647;
xrootd;6.93906;
xrootd;6.96626;
xrootd;6.9446;
https;6.9305;
https;6.8942;
xrootd;6.93497;
https;6.88896;
https;6.8954;
https;6.9052;
xrootd;6.95732;
https;6.91212;
xrootd;6.94913;
https;6.90076;
https;6.88668;
xrootd;6.92781;
xrootd;6.96927;
https;6.92638;
xrootd;6.92323;
xrootd;7.12185;
xrootd;7.07157;
xrootd;6.98902;
https;6.92848;
https;6.91565;
https;6.90199;
https;6.89315;
https;6.88838;
https;6.97806;
https;6.95763;
https;6.90529;
xrootd;6.89395;
xrootd;6.9561;
https;6.92515;
https;6.89427;
xrootd;6.91466;
https;6.88522;
xrootd;6.90522;
https;6.93792;
xrootd;7.64304;
xrootd;7.01619;
https;6.90767;
xrootd;7.05366;
https;6.89015;
xrootd;7.08755;
xrootd;7.13756;
xrootd;6.95261;
xrootd;6.93208;
xrootd;7.02121;
https;6.90976;
xrootd;7.41548;
https;6.90767;
https;6.94832;
https;6.9074;
xrootd;7.05518;
xrootd;6.93238;
https;6.9048;
xrootd;7.24552;
https;6.92039;
https;6.88452;
xrootd;6.98141;
https;6.91993;
xrootd;6.92244;
xrootd;6.92084;
https;6.89063;
https;6.93598;
https;6.88927;
https;6.90563;
https;6.91531;
xrootd;6.91456;
https;6.90996;
https;6.89125;
xrootd;6.89948;
https;6.92364;
https;6.93974;
https;6.88247;
xrootd;6.93482;
https;6.87886;
xrootd;6.94875;
xrootd;7.27208;
xrootd;7.54857;
https;6.92993;
https;6.93863;
https;6.89423;
xrootd;6.9437;
xrootd;7.1859;
xrootd;7.41209;
xrootd;6.92774;
xrootd;6.95691;
https;6.92935;
xrootd;7.10988;
https;6.91542;
https;6.88999;
xrootd;6.93043;
https;7.24578;
https;6.92409;
https;6.91787;
xrootd;6.97801;
xrootd;6.99542;
xrootd;6.95736;
https;6.89898;
xrootd;7.14786;
https;6.90959;
xrootd;6.93854;
xrootd;6.93031;
xrootd;6.90453;
xrootd;6.95548;
xrootd;7.05243;
https;6.93464;
xrootd;6.94526;
https;6.93066;
xrootd;6.93127;
xrootd;6.93183;
https;6.88433;
xrootd;6.98898;
xrootd;6.98029;
xrootd;6.94002;
xrootd;7.01806;
https;6.92768;
https;6.89899;
https;6.90008;
xrootd;7.01564;
https;6.92471;
https;6.89264;
xrootd;7.05498;
https;6.90648;
https;6.89242;
https;6.91486;
https;6.94648;
https;6.92356;
https;6.89663;
https;6.94153;
xrootd;6.93833;
https;6.92875;
xrootd;6.97076;
https;6.90074;
xrootd;6.92581;
https;6.91394;
https;6.91199;
https;6.89879;
https;6.97599;
https;6.90992;
https;6.89224;
xrootd;6.94663;
xrootd;6.9272;
xrootd;6.99667;
https;6.88986;
